itemId,commission,"room_area, m2",rooms_count,floor,floors_count,house_type,lat,lng,colors,url,metro_distance,station_1,station_2,station_3,metro_distance_1,metro_distance_2,metro_distance_3,name,address,"price, rub"
2092032155,Собственник,18,1,4,5,Панельный,55.7525032514771,37.604400160747,"['#0072BA', '#1EBCEF']",/moskva/komnaty/komnata_18_m_v_1-k.45_et._2092032155,"{'18': 0.4, '4': 0.3, '6': 0}",18,4,6,0.4,0.3,0.0,Арбатская,"Москва, улица Воздвиженка, 9",850000
2068911692,Посредник,23,3,3,5,Кирпичный,55.748376,37.599256,['#E42313'],/moskva/komnaty/komnata_23_m_v_3-k.35_et._2068911692,"{'18': 0.7, '52': 0.5, '6': 0.6}",18,52,6,0.7,0.5,0.6,Кропоткинская,"Москва, Гоголевский бульвар, 25с1",11500000
2105735154,Посредник,43,2,1,5,Кирпичный,55.7579952327533,37.6449703160173,['#E42313'],/moskva/komnaty/komnata_43_m_v_2-k.15_et._2105735154,"{'138': 0.9, '139': 0.9, '42': 0.9}",138,139,42,0.9,0.9,0.9,Чистые пруды,"Москва, Покровский бульвар, 4/17с3",350000
2046184525,Посредник,24.2,3,2,5,Кирпичный,55.771393,37.635,['#F07E24'],/moskva/komnaty/komnata_242_m_v_3-k.25_et._2046184525,"{'1007': 0.6, '114': 0.2, '124': 0.7}",1007,114,124,0.6,0.2,0.7,Сухаревская,"Москва, Ананьевский переулок, 5с7",7700000
2086985152,Посредник,9.2,1,2,5,Панельный,55.774629,37.627696,['#F07E24'],/moskva/komnaty/komnata_92_m_v_1-k.25_et._2086985152,"{'1006': 0.8, '114': 0.4, '134': 0.5}",1006,114,134,0.8,0.4,0.5,Сухаревская,"Москва, Мещанская улица, 2",3350000
2087581022,Посредник,18.2,2,2,5,Кирпичный,55.774629,37.627696,['#F07E24'],/moskva/komnaty/komnata_182_m_v_2-k.25_et._2087581022,"{'1006': 0.8, '114': 0.4, '134': 0.5}",1006,114,134,0.8,0.4,0.5,Сухаревская,"Москва, Мещанская улица, 2",6250000
2107727719,Собственник,16,2,5,16,Кирпичный,55.764632,37.582592,['#943E90'],/moskva/komnaty/komnata_16_m_v_2-k.516_et._2107727719,"{'10': 0.4, '48': 0.6, '64': 1}",10,48,64,0.4,0.6,1.0,Баррикадная,"Москва, Зоологическая улица, 12к1",3700000
2067107338,Посредник,19,3,5,5,Кирпичный,55.734658,37.630751,"['#4FB04F', '#915133']",/moskva/komnaty/komnata_19_m_v_3-k_55_et._2067107338,"{'122': 0.8, '32': 0.8, '80': 0.5}",122,32,80,0.8,0.8,0.5,Павелецкая,"Москва, 1-й Новокузнецкий переулок, 13",6150000
2102228029,Собственник,11,3,12,15,Кирпичный,55.778203,37.612398,['#BED12C'],/moskva/komnaty/komnata_11_m_v_3-k.1215_et._2102228029,"{'134': 0.9, '2001': 0.4, '73': 0.7}",134,2001,73,0.9,0.4,0.7,Достоевская,"Москва, 4-й Самотёчный переулок, 3",4800000
2108990377,Посредник,22.4,3,2,7,Кирпичный,55.765083,37.655526,['#E42313'],/moskva/komnaty/komnata_224_m_v_3-k._27_et._2108990377,,,,,,,,Красные ворота,"Москва, Садовая-Черногрязская улица, 13/3с1",5250000
2109507001,Посредник,19,3,3,5,Кирпичный,55.766157,37.655149,['#E42313'],/moskva/komnaty/komnata_19_m_v_3-k._35_et._2109507001,,,,,,,,Красные ворота,"Москва, Хомутовский тупик, 4к1",6000000
2102846753,Посредник,12.2,3,8,13,Панельный,55.754284,37.659353,['#BED12C'],/moskva/komnaty/komnata_122_m_v_3-k.813_et._2102846753,"{'116': 1.4, '139': 0.2, '57': 0.5}",116,139,57,1.4,0.2,0.5,Чкаловская,"Москва, Верхняя Сыромятническая улица, 2",4000000
2134576268,Собственник,16.5,3,2,5,Кирпичный,55.735576,37.639572,"['#4FB04F', '#915133']",/moskva/komnaty/komnata_165_m_v_3-k.25_et._2134576268,"{'122': 1, '72': 1, '80': 0.5}",122,72,80,1.0,1.0,0.5,Павелецкая,"Москва, Озерковская набережная, 48/50с1",7200000
2107106360,Собственник,40,2,3,5,Кирпичный,55.766314,37.655886,['#E42313'],/moskva/komnaty/komnata_40_m_v_2-k.35_et._2107106360,"{'45': 1, '50': 0.5, '57': 0.9}",45,50,57,1.0,0.5,0.9,Красные ворота,"Москва, Хомутовский тупик, 4к2",6000000
1917499979,Посредник,15.6,3,6,8,Кирпичный,55.733989,37.637623,"['#4FB04F', '#915133']",/moskva/komnaty/komnata_156_m_v_3-k._68_et._1917499979,,,,,,,,Павелецкая,"Москва, Татарская улица, 14",8000000
2095289016,Собственник,17,2,11,12,Панельный,55.775894,37.644145,"['#E42313', '#915133']",/moskva/komnaty/komnata_17_m_v_2-k.1112_et._2095289016,"{'114': 0.8, '45': 0.7, '50': 0.8}",114,45,50,0.8,0.7,0.8,Комсомольская,"Москва, Большая Спасская улица, 8",5000000
1945863794,Собственник,16.4,3,3,7,Кирпичный,55.7609763200488,37.5734750417995,['#915133'],/moskva/komnaty/komnata_164_m_v_3-k.37_et._1945863794,"{'10': 0.5, '126': 0.8, '48': 0.2}",10,126,48,0.5,0.8,0.2,Краснопресненская,"Москва, улица Красная Пресня, 9",4650000
1902450431,Посредник,21.3,3,4,5,Кирпичный,55.763194,37.573142,['#915133'],/moskva/komnaty/komnata_21.3_m_v_3-k_45_et._1902450431,"{'10': 0.6, '126': 0.7, '48': 0.4}",10,126,48,0.6,0.7,0.4,Краснопресненская,"Москва, Волков переулок, 7-9с3",4800000
1974344623,Собственник,21,3,2,6,Кирпичный,55.767647,37.575687,['#915133'],/moskva/komnaty/komnata_21_m_v_3-k.26_et._1974344623,"{'10': 0.8, '126': 1, '48': 0.8}",10,126,48,0.8,1.0,0.8,Краснопресненская,"Москва, улица Климашкина, 8, подъезд 2",7900000
1771181708,Собственник,16,3,8,8,Кирпичный,55.778339,37.592278,"['#4FB04F', '#915133']",/moskva/komnaty/komnata_16_m_v_3-k.88_et._1771181708,"{'13': 0.4, '66': 0.6, '73': 0.6}",13,66,73,0.4,0.6,0.6,Белорусская,"Москва, Миусская площадь, 5",5600000
2042109337,Посредник,16.4,3,8,8,Кирпичный,55.7784385681152,37.5922546386719,"['#4FB04F', '#915133']",/moskva/komnaty/komnata_164_m_v_3-k._88_et._2042109337,,,,,,,,Белорусская,"Москва, Миусская площадь, 5",5400000
2082117211,Собственник,10,1,7,18,Монолитный,55.771206,37.658212,"['#E42313', '#915133']",/moskva/komnaty/komnata_10_m_v_1-k.718_et._2082117211,"{'45': 0.5, '49': 1.1, '50': 0.6}",45,49,50,0.5,1.1,0.6,Комсомольская,"Москва, Басманный переулок, 5",16600000
2114841435,Посредник,10,3,1,5,Панельный,55.755353,37.668615,['#BED12C'],/moskva/komnaty/komnata_10_m_v_3-k.15_et._2114841435,"{'139': 0.6, '57': 0.6, '89': 1.2}",139,57,89,0.6,0.6,1.2,Чкаловская,"Москва, Сыромятнический проезд, 7/14",1499000
2088084088,Посредник,23.1,3,1,9,Панельный,55.781823,37.640533,"['#915133', '#F07E24']",/moskva/komnaty/komnata_231_m_v_3-k._19_et._2088084088,,,,,,,,Проспект Мира,"Москва, Большая Переяславская улица, 5к2",9000000
2097790926,Посредник,35,2,3,14,Панельный,55.7810949396015,37.6438832858977,"['#915133', '#F07E24']",/moskva/komnaty/komnata_35_m_v_2-k.314_et._2097790926,"{'114': 1.2, '45': 0.9, '97': 0.7}",114,45,97,1.2,0.9,0.7,Проспект Мира,"Москва, Большая Переяславская улица, 6к1",9150000
1111377333,Собственник,16.3,2,4,4,Кирпичный,55.7275009542527,37.6335096346558,"['#4FB04F', '#915133']",/moskva/komnaty/komnata_16.3_m_v_2-k_44_et._1111377333,"{'108': 0.5, '32': 0.7, '80': 0.5}",108,32,80,0.5,0.7,0.5,Павелецкая,"Москва, Большая Пионерская улица, 24",4699999
